sample_id,duration_seconds,n_words,n_flagged,n_fallback,alignment_health,words_per_second,speech_density,mean_word_seconds,n_short_pauses_gt_300ms,arousal_proxy_mean,arousal_proxy_std,voiced_fraction,pitch_range_hz,residual_mean_seconds,residual_p95_seconds,residual_max_seconds
-3g5yACwYnA__13,5.514,15,1,0,high,5.9055,0.4606,0.1693,0,-0.9451,1.2613,0.6786,343.17,0.1693,0.326,0.48
-3g5yACwYnA__2,9.394,14,2,0,high,4.8951,0.3044,0.2043,2,-0.9366,1.1412,0.8511,307.61,0.2043,0.407,0.42
-3g5yACwYnA__3,14.389,29,5,0,medium,4.4615,0.4517,0.2241,7,-1.014,1.1571,0.9306,323.87,0.2241,0.524,0.84
-3g5yACwYnA__9,8.817,23,5,0,medium,4.7718,0.5467,0.2096,3,-0.7074,1.3177,0.8444,297.3,0.2096,0.514,0.82
-3nNcZdcdvU__5,7.868,18,4,0,medium,3.9474,0.5796,0.2533,1,-0.495,1.4495,0.95,263.02,0.2533,0.708,0.98
-571d8cVauQ__0,5.0667,12,3,0,medium,4.5802,0.5171,0.2183,0,0.1212,0.9836,0.6154,75.01,0.2183,0.418,0.44
-571d8cVauQ__5,15.273,43,7,0,medium,5.6579,0.4976,0.1767,6,-0.1942,1.0174,0.7403,150.28,0.1767,0.468,0.58
-6rXp3zJ3kc__8,12.805,34,4,0,medium,5.414,0.4904,0.1847,3,0.2441,1.2753,0.8923,67.27,0.1847,0.374,0.5
-9y-fZ3swSY__0,6.8333,22,7,0,medium,5.9459,0.5415,0.1682,2,0.788,0.9882,0.7714,222.46,0.1682,0.318,0.34
-9y-fZ3swSY__4,2.821,9,4,0,medium,7.2581,0.4396,0.1378,1,0.7526,0.4745,0.5333,254.78,0.1378,0.28,0.32
-9y-fZ3swSY__8,4.989,12,2,0,high,5.3097,0.453,0.1883,3,0.2345,1.1358,0.84,219.58,0.1883,0.418,0.44
-AUZQgSxyPQ__2,22.511,41,4,0,medium,3.2853,0.5544,0.3044,10,0.4646,0.7558,0.8938,358.27,0.3044,0.6,1.2
